Grupo,Equipa,Jogos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos
A,Russia,3,2,0,1,8,4
B,Espanha,3,1,2,0,6,5
A,Egito,3,0,0,3,2,6
B,Portugal,3,1,2,0,5,4
G,Tunisia,3,1,0,2,5,8
C,Franca,3,2,1,0,3,1
A,Uruguai,3,3,0,0,5,0
G,Inglaterra,3,2,0,1,8,3
D,Nigeria,3,1,0,2,3,4
B,Marrocos,3,0,1,2,2,4
C,Dinamarca,3,1,2,0,2,1
C,Australia,3,0,1,2,2,5
D,Argentina,3,1,1,1,3,5
D,Islandia,3,0,1,2,2,5
E,Brasil,3,2,1,0,5,1
H,Senegal,3,1,1,1,4,4
E,Suica,3,1,2,0,5,4
F,Suecia,3,2,0,1,5,2
G,Belgica,3,3,0,0,9,2
F,Coreia do Sul,3,1,0,2,3,3
A,Arabia Saudita,3,1,0,2,2,7
D,Croacia,3,3,0,0,7,1
G,Panama,3,0,0,3,2,11
H,Colombia,3,2,0,1,5,2
H,Japao,3,1,1,1,4,4
E,Servia,3,1,0,2,2,4
B,Ira,3,1,1,1,2,2
F,Mexico,3,2,0,1,3,4
C,Peru,3,1,0,2,2,2
F,Alemanha,3,1,0,2,2,4
E,Costa Rica,3,0,1,2,2,5
H,Polonia,3,1,0,2,2,5
